Sample ID,Rows,OES Mean,OES Max,OES Zero %,Voltage Mean,Voltage Std,Current Mean,Current Std,IR Temp Mean,IR Temp Max,IR Temp Std
0,100,0.539,11.972,62.1,0.0,3.94,0.122,3.232,2.741,4.139,0.72
1,100,0.513,5.952,46.1,0.0,4.528,0.127,1.689,0.058,1.595,0.142
2,100,1.133,9.242,22.1,0.0,4.039,0.148,2.095,0.259,2.022,0.315
3,100,0.606,9.194,45.6,0.0,4.923,-0.265,2.183,0.465,2.336,0.491
4,100,0.565,14.009,62.0,0.0,3.594,1.152,4.448,3.29,4.527,0.662
5,100,0.696,13.408,46.0,0.0,4.355,0.678,2.557,3.546,4.601,0.575
6,100,0.367,6.773,62.8,0.0,4.627,-0.088,1.903,0.122,1.882,0.229
7,100,0.521,13.33,62.8,-0.001,3.566,1.743,4.047,3.502,4.547,0.515
8,100,0.458,10.288,62.8,0.0,3.678,0.848,3.138,2.09,3.449,0.624
9,100,0.386,8.645,63.9,-0.0,3.404,1.739,4.009,1.247,2.799,0.53
10,100,0.45,11.701,63.4,0.0,4.014,0.538,2.436,2.36,3.672,0.622
11,100,0.593,9.273,45.8,-0.0,4.89,0.046,2.014,1.127,2.913,0.652
12,100,0.668,12.434,45.5,-0.001,3.796,1.148,3.625,2.656,3.861,0.581
13,100,1.159,9.682,21.3,0.0,4.399,0.078,2.055,0.776,2.536,0.552
14,100,0.321,6.38,64.3,0.001,3.95,0.283,1.776,0.096,1.75,0.179
15,100,0.67,12.309,45.6,0.0,3.764,1.473,3.724,2.879,3.989,0.525
16,100,1.26,11.625,21.0,0.001,4.44,-0.325,2.833,1.675,3.409,0.754
17,100,0.45,9.453,62.7,0.001,4.031,-0.086,2.579,0.888,2.718,0.613
18,100,0.409,9.528,63.7,-0.001,3.819,0.759,2.445,1.669,3.116,0.574
19,100,0.68,13.692,45.3,-0.0,4.51,0.538,2.322,3.067,4.284,0.636
